Brokertitle,Type,Price,Beds,Bath,Propertysqft,City,Address,Borough,Latitude,Longitude,Zip_code
Douglas Elliman,Condo,315000,2,2,1400,New York,"2 E 55th St Unit 803New York, NY 10022",MANHATTAN,40.761255,-73.9744834,10022
Serhant,Condo,195000000,7,10,17545,New York,"Central Park Tower Penthouse-217 W 57th New York St Unit PenthouseNew York, NY 10019",MANHATTAN,40.7663935,-73.9809909,10019
Sowae Corp,House,260000,4,2,2015,Staten Island,"620 Sinclair AveStaten Island, NY 10312",MANHATTAN,40.5418051,-74.1961086,10312
COMPASS,Condo,69000,3,1,445,Manhattan,"2 E 55th St Unit 908W33Manhattan, NY 10022",MANHATTAN,40.7613979,-73.9746128,10022
Sotheby's International Realty,Townhouse,55000000,7,2,14175,New York,"5 E 64th StNew York, NY 10065",MANHATTAN,40.7672235,-73.9698561,10065
Sowae Corp,House,690000,5,2,4004,Brooklyn,"584 Park PlBrooklyn, NY 11238",MANHATTAN,40.6743632,-73.9587248,11238
Douglas Elliman,Condo,899500,2,2,2184,New York,"157 W 126th St Unit 1BNew York, NY 10027",MANHATTAN,40.809448,-73.946777,10027
Connie Profaci Realty,House,16800000,8,16,33000,Staten Island,"177 Benedict RdStaten Island, NY 10304",MANHATTAN,40.5950017,-74.1064235,10304
Pantiga Group Inc.,Co-op,265000,1,1,750,Bronx,"875 Morrison Ave Apt 3MBronx, NY 10473",BRONX,40.8215857,-73.8740892,10473
CENTURY 21 MK Realty,Co-op,440000,2,1,978,Brooklyn,"1350 Ocean Pkwy Apt 5GBrooklyn, NY 11230",BROOKLYN,40.6157378,-73.9696944,11230
Engel & Volkers Americas,Co-op,375000,2,1,850,Bronx,"800 Grand Concourse Apt 2JSBronx, NY 10451",BRONX,40.8248699,-73.9229829,10451
Re/Max Edge,Townhouse,689000,3,2,1162,Staten Island,"456 Van Name AveStaten Island, NY 10303",MANHATTAN,40.6249962,-74.1553058,10303
COMPASS,Co-op,259000,3,1,2184,Jackson Heights,"34-41 85th St Unit 1DJackson Heights, NY 11372",QUEENS,40.7531191,-73.8818757,11372
Jamie & Connie Real Estate Grp,Co-op,430000,2,2,2184,Elmhurst,"91-15 Lamont Ave Unit 6DElmhurst, NY 11373",QUEENS,40.7438639,-73.8745722,11373
Corcoran Chelsea/Flatiron,Co-op,895000,3,1,2184,New York,"61 Jane St Apt 6NNew York, NY 10014",MANHATTAN,40.7382981,-74.0058899,10014
Awaye Realty,Condo,549000,2,2,1000,Staten Island,"4654 Amboy Rd Unit 2BStaten Island, NY 10312",STATEN_ISLAND,40.5406209,-74.1671632,10312
Realty Executives Today,Townhouse,975000,3,2,1734,Woodside,"28-31 Hobart StWoodside, NY 11377",MANHATTAN,40.7607676,-73.9056672,11377
Dorsa Group Realty,Co-op,199000,3,1,325,Brooklyn,"9430 Ridge Blvd Apt 6DBrooklyn, NY 11209",BROOKLYN,40.6181029,-74.0369047,11209
Coldwell Banker Realty,Co-op,350000,1,1,700,Bronx,"5800 Arlington Ave Apt 21ABronx, NY 10471",BRONX,40.9073699,-73.9065578,10471
Keller Williams Rlty Landmark,Condo,599000,2,2,974,Rego Park,"92-29 Queens Blvd Unit 3HRego Park, NY 11374",QUEENS,40.7324713,-73.8670804,11374
Radiant Estates LLC,House,639999,3,2,1260,Staten Island,"27 Clove WayStaten Island, NY 10301",MANHATTAN,40.6207403,-74.1114362,10301
"Apaus, Inc",Condo,1300000,2,2,1244,Forest Hills,"10724 71st Rd Apt 9FForest Hills, NY 11375",QUEENS,40.7202429,-73.8430513,11375
Keller Williams Ny Realty,Multi-family home,1100000,6,3,2837,Bronx,"1038 Throggs Neck Expy Unit SrBronx, NY 10465",MANHATTAN,40.8343936,-73.8221101,10465
Martino Realty Group,Condo,349900,1,1,651,Staten Island,"165 Cromwell Ave Apt 2BStaten Island, NY 10304",STATEN_ISLAND,40.5902064,-74.0958034,10304
Elizabeth Marra,House,750000,2,2,1330,Staten Island,"280 Loretto StStaten Island, NY 10307",MANHATTAN,40.5039785,-74.2396555,10307
CENTURY 21 Milestone Realty,Multi-family home,1690000,6,4,2200,Briarwood,"149-07 85 RdBriarwood, NY 11435",MANHATTAN,40.710749,-73.809486,11435
"Nest Seekers International, Long Island",Co-op,325000,1,1,2184,Queens,"35-45 81st St Unit E1Queens, NY 11372",QUEENS,40.7505078,-73.8851355,11372
Du Chris Realty,Co-op,230000,1,1,2184,Jackson Heights,"33-24 Junction Blvd Unit 6RJackson Heights, NY 11372",MANHATTAN,40.7557689,-73.8734231,11372
Ashford Homes,Multi-family home,1299888,10,6,3156,Staten Island,"310-312 Hillside AveStaten Island, NY 10304",STATEN_ISLAND,40.6155667,-74.0869554,10304
NoBroker,Multi-family home,925000,5,2,2750,Bronx,"543 Hollywood AveBronx, NY 10465",MANHATTAN,40.8242389,-73.8173809,10465
Get Listed Get Sold NYC,Condo,329000,1,2,794,Staten Island,"47 Lynn CtStaten Island, NY 10314",MANHATTAN,40.6210398,-74.1504313,10314
RJM Realty Empire Inc.,Multi-family home,1300000,10,8,5040,Staten Island,"366 Union Ave Unit 4Staten Island, NY 10303",STATEN_ISLAND,40.6274381,-74.1581613,10303
RE MAX Edge,Multi-family home,848000,5,4,2080,Brooklyn,"544 Hinsdale StBrooklyn, NY 11207",MANHATTAN,40.6615475,-73.898309,11207
H P Greenfield Real Estate Ltd,Co-op,279000,1,1,750,Brooklyn,"1801 Ocean Ave Apt 4ABrooklyn, NY 11230",BROOKLYN,40.6179165,-73.9546305,11230
Ashford Homes LLC,Condo,528000,1,1,602,Brooklyn,"1238 63rd St Unit 432Brooklyn, NY 11219",BROOKLYN,40.6275896,-74.0016198,11219
Ashford Homes,Multi-family home,1299888,11,4,3156,Staten Island,"310-312 Hillside AveStaten Island, NY 10304",STATEN_ISLAND,40.6155667,-74.0869554,10304
E Realty International Corp,Co-op,275000,1,1,2184,Flushing,"44-55 Kissena Blvd Unit 5FFlushing, NY 11355",QUEENS,40.7528774,-73.8211834,11355
Corcoran Park Slope,Condo,1165000,1,1,815,Brooklyn,"338 Berry St Apt 4EBrooklyn, NY 11249",BROOKLYN,40.711969,-73.9649468,11249
Staten Island Homes Realty Corp,Multi-family home,1199000,6,5,3290,Staten Island,"10 Simon CtStaten Island, NY 10307",MANHATTAN,40.5159256,-74.2361135,10307
Exp Realty,Multi-family home,700000,6,2,3053,Bronx,"229 W Tremont Ave Unit ABronx, NY 10453",MANHATTAN,40.852813,-73.9176871,10453
Century 21 Realty First,Multi-family home,2150000,8,4,3200,Brooklyn,"2226 63rd StBrooklyn, NY 11204",MANHATTAN,40.614446,-73.9795824,11204
E Realty International Corp,Multi-family home,1280000,7,5,2460,Woodhaven,"86-05 91st AveWoodhaven, NY 11421",MANHATTAN,40.688312,-73.856322,11421
Brown Harris Stevens,Co-op,199900,1,1,2184,Bronx,"828 Gerard Ave Apt 5FBronx, NY 10451",BRONX,40.8260352,-73.9256625,10451
Winzone Realty Inc,Co-op,369000,2,1,2184,Flushing,"43-40 Union St Unit 3DFlushing, NY 11355",QUEENS,40.753455,-73.8209077,11355
Prestige Homes Ny Inc,Multi-family home,699000,4,3,1591,Jamaica,"111-31 141st StJamaica, NY 11435",MANHATTAN,40.6847504,-73.8027331,11435
Brown Harris Stevens,Co-op,4250000,3,2,2400,Manhattan,"123 Prince St Unit 1Manhattan, NY 10012",MANHATTAN,40.725464,-73.9999212,10012
Weichert Realtors TMT Group,Multi-family home,825000,2,2,2184,Flushing,"32-39 Jordan StFlushing, NY 11358",MANHATTAN,40.768457,-73.789417,11358
American Homes Group,Condo,329000,2,1,837,Staten Island,"55 Austin Pl Apt 4LStaten Island, NY 10304",STATEN_ISLAND,40.6315346,-74.0856344,10304
Wonica REALTORS & Appraisers,Multi-family home,889000,2,2,1520,Staten Island,"17 S Greenleaf AveStaten Island, NY 10314",MANHATTAN,40.6233188,-74.1259917,10314
First Class Homes Inc,Multi-family home,769000,2,2,2184,Richmond Hill South,"101-55 112th StRichmond Hill South, NY 11419",MANHATTAN,40.6868333,-73.8309133,11419
eXp Realty BKNY,Multi-family home,1200000,4,2,2536,Brooklyn,"66 Bay 22nd StBrooklyn, NY 11214",MANHATTAN,40.6042861,-74.0012526,11214
VYLLA HOME,Co-op,220500,2,1,900,Staten Island,"350 Richmond Ter Apt 3MStaten Island, NY 10301",STATEN_ISLAND,40.6481488,-74.0847983,10301
RE MAX Edge,Multi-family home,1999000,3,3,2739,Brooklyn,"259 80th StBrooklyn, NY 11209",MANHATTAN,40.6281691,-74.0297598,11209
Douglas Elliman,Co-op,3250000,2,2,1300,New York,"240 Centre St Unit 2MNew York, NY 10013",MANHATTAN,40.7199716,-73.9980266,10013
Douglas Elliman,Condo,1650000,2,2,1267,Brooklyn,"473 Hicks St Apt 4Brooklyn, NY 11231",BROOKLYN,40.6866098,-73.9997131,11231
"Homes R Us Realty of NY, Inc.",Multi-family home,1049000,4,4,2554,Staten Island,"342 Manhattan StStaten Island, NY 10307",MANHATTAN,40.5016233,-74.2417531,10307
